,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
21183,8,0,3,6,5,7,2,4,1,0.6624503818400431,1.7530612423846799,100.0,-1.1368683772161603e-15,2.220446049250313e-16,"Macedonian (Indo-European, Slavic)",europe,real,2
21329,8,1,6,3,4,5,7,2,0,0.6624503818400431,1.7530612423846799,100.0,-1.1368683772161603e-15,2.220446049250313e-16,"Arrernte, Eastern (Pama-Nyungan, Aranda) ",oceania,real,2
21350,0,6,2,3,4,5,1,8,7,0.6624503818400427,1.7530612423846796,100.0,-7.105427357601002e-16,0.0,"[OC-11]  Fijian (Austronesian, Oceanic)",oceania,real,2
21271,6,8,5,2,0,4,3,1,7,0.6624503818400427,1.7530612423846796,100.0,-7.105427357601002e-16,2.220446049250313e-16,[AM-50]  Yuracaré (Yuracaré) ,americas,real,2
21161,2,8,1,3,7,0,5,4,6,0.6624503818400427,1.7530612423846796,100.0,-7.105427357601002e-16,2.220446049250313e-16,Basque,europe,real,2
21254,6,0,7,5,4,3,8,2,1,0.6624503818400427,1.7530612423846799,100.0,-7.105427357601002e-16,-2.220446049250313e-16,"[AM-24]  Lakota (Siouan, Core Siouan)",americas,real,2
21245,4,2,7,3,6,5,1,8,0,0.6624503818400427,1.7530612423846796,100.0,-7.105427357601002e-16,-2.220446049250313e-16,"Arapaho (Algic, Algonquian) ",americas,real,2
21336,6,1,2,8,0,4,5,7,3,0.6624503818400427,1.7530612423846799,100.0,-7.105427357601002e-16,2.220446049250313e-16,[OC-17]  Jingulu (Mirndi),oceania,real,2
21244,7,3,4,8,6,5,1,2,0,0.6624503818400427,1.7530612423846799,100.0,-7.105427357601002e-16,2.220446049250313e-16,"[AM-15]  Garifuna (Arawakan, Caribbean Arawakan) ",americas,real,2
21238,4,5,7,8,3,2,1,0,6,0.6624503818400427,1.7530612423846796,100.0,-7.105427357601002e-16,2.220446049250313e-16,"[AM-21]  Kodiak Alutiiq (Eskimo-Aleut, Aleut) ",americas,real,2
21343,3,8,5,2,4,0,1,7,6,0.6624503818400427,1.7530612423846796,100.0,-7.105427357601002e-16,2.220446049250313e-16,"[OC-19]  Komnzo (Morehead-Wasur, Eastern Tonda)",oceania,real,2
21345,6,1,5,4,0,3,7,8,2,0.6624503818400427,1.7530612423846796,100.0,-7.105427357601002e-16,-2.220446049250313e-16,"[OC-50]  Yuwaalaraay (Pama-Nyungan, Wiradhuric)",oceania,real,2
21219,8,5,7,0,3,4,1,2,6,0.6624503818400427,1.7530612423846796,100.0,-7.105427357601002e-16,2.220446049250313e-16,"Mundari (Austroasiatic, Mundaic)",asia,real,2
21218,8,0,2,6,4,5,1,7,3,0.6624503818400427,1.7530612423846796,100.0,-7.105427357601002e-16,2.220446049250313e-16,Yugh (Yeniseian),asia,real,2
21362,7,8,0,2,4,3,6,5,1,0.6624503818400427,1.7530612423846796,100.0,-7.105427357601002e-16,2.220446049250313e-16,"[OC-47]  Yawuru (Nyulnyulan, Eastern)",oceania,real,2
21199,4,3,5,8,1,0,6,7,2,0.6624503818400427,1.7530612423846796,100.0,-7.105427357601002e-16,2.220446049250313e-16,Tuvinian (Turkic),asia,real,2
21359,8,5,1,4,6,2,7,3,0,0.6624503818400427,1.7530612423846796,100.0,-7.105427357601002e-16,3.3306690738754696e-16,[OC-45]  Wardaman (Yangmanic),oceania,real,2
21356,1,8,7,6,2,5,3,4,0,0.6624503818400427,1.7530612423846799,100.0,-7.105427357601002e-16,2.220446049250313e-16,"[OC-49]  Yindjibarndi  (Pama-Nyungan, Pilbara)",oceania,real,2
21167,8,7,6,5,4,0,2,3,1,0.6624503818400425,1.7530612423846796,100.0,-4.263256414560601e-16,3.3306690738754696e-16,Finnish (Uralic),europe,real,2
21341,2,7,8,0,6,1,4,5,3,0.6624503818400425,1.7530612423846794,100.0,-4.263256414560601e-16,-2.220446049250313e-16,"[OC-8]  Djapu (Pama-Nyungan, Yuulngu) ",oceania,real,2
21270,2,6,5,7,0,4,3,8,1,0.6624503818400425,1.7530612423846796,100.0,-4.263256414560601e-16,-2.220446049250313e-16,"[AM-44]  Trio (Cariban, Guianan)",americas,real,2
21255,5,4,0,2,8,1,6,7,3,0.6624503818400425,1.7530612423846794,100.0,-4.263256414560601e-16,2.220446049250313e-16,"[AM-17]  Hualapai (Cochimi-Yuman, Yuman) ",americas,real,2
21166,1,7,3,6,2,5,0,8,4,0.6624503818400425,1.7530612423846794,100.0,-4.263256414560601e-16,-2.220446049250313e-16,"Old Church Slavonic (Indo-European, Slavic)",europe,real,2
21313,6,4,2,7,8,1,5,0,3,0.6624503818400425,1.7530612423846799,100.0,-4.263256414560601e-16,2.220446049250313e-16,"Tamasheq, Tadraq (Afro-Asiatic, Berber)",africa,real,2
