,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],MI_Objective,grammar_complexity,Language,Area,LangCategory
21148,3,2,1,8,5,6,0,7,4,0.5338660826647215,1.9690630660801178,0.9013309007506749,2___1___9,"Old Church Slavonic (Indo-European, Slavic)",europe,real
21350,1,7,0,8,5,2,6,4,3,0.5338660826647215,1.9690630660801176,0.9013309007506747,2___1___9,[OC-45]  Wardaman (Yangmanic),oceania,real
21229,5,7,6,2,0,1,8,4,3,0.5338660826647215,1.9690630660801174,0.9013309007506745,2___1___9,Tuvinian (Turkic),asia,real
21218,3,6,7,8,2,5,1,4,0,0.5338660826647215,1.9690630660801174,0.9013309007506745,2___1___9,"Yukaghir, Kolyma (Yukaghir)",asia,real
21217,7,4,5,8,0,1,2,6,3,0.5338660826647215,1.9690630660801176,0.9013309007506747,2___1___9,"Atong (Sino-Tibetan, Brahmaputran)",asia,real
21208,7,6,0,8,5,4,1,3,2,0.5338660826647215,1.9690630660801174,0.9013309007506745,2___1___9,Korean (Koreanic),asia,real
21264,0,3,4,7,2,6,1,8,5,0.5338660826647215,1.9690630660801172,0.9013309007506742,2___1___9,"[AM-20]  Klamath (Penutian, Klamath-Modoc) ",americas,real
21230,7,3,2,8,4,6,1,5,0,0.5338660826647215,1.9690630660801174,0.9013309007506745,2___1___9,Ainu (Ainu),asia,real
21260,1,3,8,4,6,7,5,0,2,0.5338660826647212,1.9690630660801172,0.9013309007506747,2___1___9,"[AM-18]  Inuktitut, Western Canadian (Eskimo-Aleut, Eskimo) ",americas,real
21197,6,8,4,5,2,0,7,1,3,0.5338660826647212,1.9690630660801172,0.9013309007506747,2___1___9,"Burushaski, Yasin (Burushaski)",asia,real
21215,0,8,5,2,3,6,7,4,1,0.5338660826647212,1.9690630660801174,0.9013309007506749,2___1___9,"Bantawa (Sino-Tibetan, Kiranti)",asia,real
21258,0,8,5,2,6,4,3,7,1,0.5338660826647212,1.9690630660801172,0.9013309007506747,2___1___9,"Apache, San Carlos (Athabaskan-Eyak-Tlingit, Athabaskan) ",americas,real
21299,1,8,2,4,6,0,3,5,7,0.5338660826647212,1.9690630660801172,0.9013309007506747,2___1___9,"Yoruba (Atlantic-Congo, Defoid)",africa,real
21261,8,7,1,6,0,3,4,2,5,0.533866082664721,1.9690630660801174,0.9013309007506753,2___1___9,"[AM-44]  Trio (Cariban, Guianan)",americas,real
21332,8,6,2,1,3,0,4,5,7,0.533866082664721,1.9690630660801174,0.9013309007506753,2___1___9,[OC-28]  Ngan'gityemerri (Southern Daly),oceania,real
21333,2,1,6,7,4,5,3,8,0,0.533866082664721,1.9690630660801174,0.9013309007506753,2___1___9,[OC-17]  Jingulu (Mirndi),oceania,real
21253,8,7,1,0,5,4,2,6,3,0.533866082664721,1.9690630660801176,0.9013309007506756,2___1___9,[AM-50]  Yuracaré (Yuracaré) ,americas,real
21334,3,5,2,1,7,6,0,8,4,0.533866082664721,1.9690630660801172,0.9013309007506751,2___1___9,"[OC-50]  Yuwaalaraay (Pama-Nyungan, Wiradhuric)",oceania,real
21335,1,7,0,8,6,5,3,4,2,0.533866082664721,1.9690630660801176,0.9013309007506756,2___1___9,"[OC-19]  Komnzo (Morehead-Wasur, Eastern Tonda)",oceania,real
21287,4,0,3,6,7,1,5,8,2,0.533866082664721,1.9690630660801172,0.9013309007506751,2___1___9,"Khoekhoe, Nama (Khoe-Kwadi)",africa,real
21289,1,7,3,6,0,2,8,4,5,0.533866082664721,1.9690630660801174,0.9013309007506753,2___1___9,"Ngizim (Afro-Asiatic, Chadic)",africa,real
21325,8,5,2,6,1,4,3,7,0,0.533866082664721,1.9690630660801174,0.9013309007506753,2___1___9,"[OC-47]  Yawuru (Nyulnyulan, Eastern)",oceania,real
21320,1,0,3,7,2,4,6,8,5,0.533866082664721,1.9690630660801174,0.9013309007506753,2___1___9,"Hausa (Afro-Asiatic, Chadic)",africa,real
21234,4,1,2,5,6,3,0,8,7,0.533866082664721,1.9690630660801172,0.9013309007506751,2___1___9,"[AM-21]  Kodiak Alutiiq (Eskimo-Aleut, Aleut) ",americas,real
21351,8,5,1,7,2,6,3,4,0,0.533866082664721,1.9690630660801174,0.9013309007506753,2___1___9,"[OC-5]  Bardi (Nyulnyulan, Western) ",oceania,real
21192,4,0,5,1,6,7,3,8,2,0.533866082664721,1.9690630660801172,0.9013309007506751,2___1___9,"Mualang (Austronesian, Malayo-Sumbawan)",asia,real
21189,8,3,6,7,1,2,0,4,5,0.533866082664721,1.9690630660801176,0.9013309007506756,2___1___9,Finnish (Uralic),europe,real
21172,2,4,7,1,5,3,8,6,0,0.533866082664721,1.9690630660801176,0.9013309007506756,2___1___9,"German (Indo-European, Germanic)",europe,real
21159,8,1,5,7,2,0,3,6,4,0.533866082664721,1.9690630660801176,0.9013309007506756,2___1___9,Basque,europe,real
21248,2,6,3,4,1,8,7,0,5,0.5338660826647208,1.9690630660801172,0.9013309007506756,2___1___9,"[AM-15]  Garifuna (Arawakan, Caribbean Arawakan) ",americas,real
21252,5,1,4,2,8,7,6,3,0,0.5338660826647208,1.9690630660801174,0.9013309007506758,2___1___9,"Arapaho (Algic, Algonquian) ",americas,real
21224,0,5,7,4,2,3,1,6,8,0.5338660826647208,1.9690630660801174,0.9013309007506758,2___1___9,"Mundari (Austroasiatic, Mundaic)",asia,real
21212,5,1,8,4,6,0,7,2,3,0.5338660826647208,1.9690630660801172,0.9013309007506756,2___1___9,Yugh (Yeniseian),asia,real
21193,3,8,5,7,1,6,2,4,0,0.5338660826647208,1.9690630660801174,0.9013309007506758,2___1___9,"Khasi (Austroasiatic, Khasi-Palaung)",asia,real
21168,8,5,1,6,4,3,0,7,2,0.5338660826647208,1.9690630660801174,0.9013309007506758,2___1___9,"Macedonian (Indo-European, Slavic)",europe,real
21150,8,1,2,7,3,6,4,5,0,0.5338660826647208,1.9690630660801174,0.9013309007506758,2___1___9,Catalan,europe,real
21291,5,0,4,6,8,2,7,3,1,0.5338660826647208,1.9690630660801172,0.9013309007506756,2___1___9,"Tamasheq, Tadraq (Afro-Asiatic, Berber)",africa,real
21145,0,1,2,3,4,5,6,7,8,0.5338660826647208,1.9690630660801174,0.9013309007506758,2___1___9,simulated,simulated,simulated
21228,3,0,5,6,8,1,4,7,2,0.5338660826647208,1.9690630660801172,0.9013309007506756,2___1___9,"Arabic, Modern Standard (Afro-Asiatic, Semitic)",asia,real
21167,3,8,7,6,4,0,5,1,2,0.5338660826647208,1.9690630660801174,0.9013309007506758,2___1___9,Turkish (Turkic),europe,real
21358,5,1,7,4,8,3,0,2,6,0.5338660826647208,1.9690630660801172,0.9013309007506756,2___1___9,"[OC-21]  Maori (Southern Cook Islands) (Austronesian, Oceanic)",oceania,real
21345,4,2,5,0,8,3,1,7,6,0.5338660826647208,1.9690630660801172,0.9013309007506756,2___1___9,"[OC-8]  Djapu (Pama-Nyungan, Yuulngu) ",oceania,real
21338,0,8,5,4,2,1,3,6,7,0.5338660826647208,1.9690630660801174,0.9013309007506758,2___1___9,"[OC-48]  Yidiɲ (Pama-Nyungan, Yimidhirr-Yalanji-Yidinic)",oceania,real
21326,6,2,7,3,8,5,4,0,1,0.5338660826647208,1.9690630660801172,0.9013309007506756,2___1___9,"[OC-49]  Yindjibarndi  (Pama-Nyungan, Pilbara)",oceania,real
21346,3,2,0,4,7,5,6,1,8,0.5338660826647208,1.9690630660801174,0.9013309007506758,2___1___9,"Arrernte, Eastern (Pama-Nyungan, Aranda) ",oceania,real
21255,2,7,5,1,0,6,3,8,4,0.5338660826647206,1.9690630660801174,0.9013309007506762,2___1___9,"[AM-17]  Hualapai (Cochimi-Yuman, Yuman) ",americas,real
21240,4,2,6,1,7,0,5,8,3,0.5338660826647206,1.9690630660801172,0.901330900750676,2___1___9,[AM-26]  Mapudungun (Araucanian) ,americas,real
21250,2,1,6,3,0,5,8,7,4,0.5338660826647206,1.9690630660801174,0.9013309007506762,2___1___9,"[AM-38]  Quechua, Yauyos (Quechuan, Central Quechua I)",americas,real
21331,4,7,2,3,5,6,8,0,1,0.5338660826647206,1.9690630660801174,0.9013309007506762,2___1___9,"[OC-11]  Fijian (Austronesian, Oceanic)",oceania,real
21246,3,7,4,0,5,6,8,2,1,0.5338660826647204,1.9690630660801176,0.9013309007506769,2___1___9,"[AM-24]  Lakota (Siouan, Core Siouan)",americas,real
21222,7,2,6,4,3,6,5,0,1,0.5269242779760812,1.9211637188881034,0.867315162935941,2___2___8,"Limbu (Sino-Tibetan, Kiranti)",asia,real
21259,2,4,6,5,0,6,7,1,3,0.526924277976081,1.9211637188881034,0.8673151629359415,2___2___8,"[AM-10] Comanche (Uto-Aztecan, Numic) ",americas,real
21119,0,1,2,3,4,2,5,6,7,0.526924277976081,1.9211637188881034,0.8673151629359415,2___2___8,simulated,simulated,simulated
21232,6,5,1,4,2,1,7,3,0,0.5269242779760808,1.9211637188881034,0.8673151629359419,2___2___8,"Bengali (Indo-European, Indo-Iranian)",asia,real
21142,0,1,1,2,3,4,5,6,7,0.5186117224789863,1.8969131719030081,0.8596897269450354,2___1___8,simulated,simulated,simulated
21343,0,3,7,4,1,5,6,2,2,0.5186117224789863,1.8969131719030081,0.8596897269450354,2___1___8,[OC-25]  Maybrat (Maybrat-Karon) ,oceania,real
21122,0,1,2,3,4,4,5,6,7,0.5186117224789863,1.8969131719030083,0.8596897269450356,2___1___8,simulated,simulated,simulated
21128,0,1,2,3,4,5,6,7,7,0.5186117224789861,1.8969131719030083,0.8596897269450361,2___1___8,simulated,simulated,simulated
21132,0,1,2,3,4,5,6,7,2,0.517822073826208,1.9211637188881034,0.8855195712356874,2___2___8,simulated,simulated,simulated
21125,0,1,2,3,1,4,5,6,7,0.5166307628265825,1.8501371374605193,0.8168756118073544,2___2___8,simulated,simulated,simulated
21274,1,3,5,6,3,7,4,0,2,0.5166307628265825,1.8501371374605193,0.8168756118073544,2___2___8,"[AM-41]  Tohono O'Odham  (Uto-Aztecan, Tepiman) ",americas,real
21022,0,1,2,3,4,2,5,6,6,0.5116699177903459,1.8490138247109944,0.8256739891303027,2___2___7,simulated,simulated,simulated
21131,0,1,2,3,2,4,5,6,7,0.5112370046547752,1.8969131719030081,0.8744391625934578,2___1___8,simulated,simulated,simulated
21110,0,1,2,3,4,1,5,6,7,0.5111432484828891,1.8969131719030081,0.87462667493723,2___1___8,simulated,simulated,simulated
21363,7,6,1,5,2,0,3,4,0,0.5099463957135382,1.9211637188881037,0.9012709274610273,2___2___8,[OC-27]  Motuna (South Bougainville),oceania,real
21136,0,1,2,3,4,5,6,7,5,0.509946395713538,1.9211637188881037,0.9012709274610278,2___2___8,simulated,simulated,simulated
21341,5,1,2,3,4,0,6,7,0,0.5099463957135375,1.9211637188881034,0.9012709274610284,2___2___8,"[OC-30]  Orokaiva (Trans-New Guinea, Binanderean)",oceania,real
20886,0,1,2,3,1,2,4,5,6,0.5096889581379427,1.8022377902685056,0.7828598739926202,2___2___7,simulated,simulated,simulated
20744,0,1,2,3,4,4,5,6,6,0.5033573622932517,1.824763277725899,0.8180485531393957,2___1___7,simulated,simulated,simulated
20810,0,1,1,2,3,4,5,6,6,0.503357362293251,1.824763277725899,0.8180485531393971,2___1___7,simulated,simulated,simulated
20877,0,1,1,2,3,3,4,5,6,0.503357362293251,1.824763277725899,0.8180485531393971,2___1___7,simulated,simulated,simulated
20904,0,1,2,3,4,4,5,6,2,0.5025677136404729,1.8490138247109944,0.8438783974300486,2___2___7,simulated,simulated,simulated
21129,0,1,2,3,4,5,6,2,7,0.5014396590833377,1.8969131719030081,0.8940338537363328,2___1___8,simulated,simulated,simulated
20772,0,1,2,3,1,4,5,6,6,0.5013764026408478,1.7779872432834103,0.7752344380017147,2___2___7,simulated,simulated,simulated
20718,0,1,2,3,2,2,4,5,6,0.5010041782967314,1.8147015739659207,0.8126932173724579,2___2___7,simulated,simulated,simulated
21112,0,1,2,3,4,5,6,7,1,0.5009078044790489,1.8969131719030081,0.8950975629449103,2___1___8,simulated,simulated,simulated
21092,0,1,1,2,3,1,4,5,6,0.5007875921824116,1.8147015739659207,0.8131263896010974,2___2___7,simulated,simulated,simulated
20856,0,1,2,3,4,2,5,6,2,0.5005877380977353,1.8551850624175694,0.8540095862220989,2___2___7,simulated,simulated,simulated
20933,0,1,2,3,1,4,5,6,2,0.5005867539880691,1.8022377902685056,0.8010642822923675,2___3___7,simulated,simulated,simulated
21130,0,0,1,2,3,4,5,6,7,0.4972430161323993,1.7899271557216347,0.7954411234568362,2___1___8,simulated,simulated,simulated
21123,0,1,2,3,3,4,5,6,7,0.4972430161323993,1.7899271557216347,0.7954411234568362,2___1___8,simulated,simulated,simulated
21121,0,1,2,3,4,5,6,6,7,0.4972430161323991,1.789927155721635,0.7954411234568368,2___1___8,simulated,simulated,simulated
20975,0,1,2,3,1,1,4,5,6,0.49608817286251017,1.7569472002979298,0.7647708545729095,2___2___7,simulated,simulated,simulated
20849,0,1,2,3,2,4,5,6,6,0.4959826444690396,1.824763277725899,0.8327979887878199,2___1___7,simulated,simulated,simulated
20836,0,1,1,2,1,3,4,5,6,0.4959407348942888,1.7569472002979298,0.7650657305093522,2___2___7,simulated,simulated,simulated
21047,0,1,2,3,4,1,5,6,6,0.4958888882971544,1.824763277725899,0.8329855011315903,2___1___7,simulated,simulated,simulated
20736,0,1,2,3,4,1,5,6,2,0.49509923964437563,1.8490138247109944,0.8588153454222431,2___2___7,simulated,simulated,simulated
21042,0,1,1,2,3,4,5,6,4,0.49469203552780217,1.8490138247109944,0.8596297536553901,2___2___7,simulated,simulated,simulated
20490,0,1,2,3,1,2,4,5,5,0.494434597952208,1.7300878960913966,0.7412187001869806,2___2___6,simulated,simulated,simulated
21135,0,1,2,3,4,5,6,1,7,0.49403153873550254,1.8501371374605193,0.8620740599895143,2___2___8,simulated,simulated,simulated
21067,0,1,2,3,4,2,5,6,1,0.49396599979040845,1.8490138247109944,0.8610818251301775,2___2___7,simulated,simulated,simulated
20851,0,1,2,3,1,4,5,6,4,0.49271107587539964,1.8022377902685056,0.8168156385177063,2___3___7,simulated,simulated,simulated
21144,0,1,2,3,4,3,5,6,7,0.4922955348139675,1.8690055486487558,0.8844144790208208,2___1___8,simulated,simulated,simulated
21340,5,3,1,2,7,4,0,6,0,0.4922955348139675,1.8690055486487558,0.8844144790208208,2___1___8,"Abui (Timor-Alor-Pantar, Alor) ",oceania,real
21109,0,1,2,3,4,5,6,7,6,0.49229553481396726,1.869005548648756,0.8844144790208215,2___1___8,simulated,simulated,simulated
21120,0,1,0,2,3,4,5,6,7,0.49229553481396726,1.8690055486487558,0.8844144790208213,2___1___8,simulated,simulated,simulated
21116,0,1,2,3,4,5,6,5,7,0.49228464222965296,1.8969131719030083,0.9123438874437024,2___1___8,simulated,simulated,simulated
21115,0,1,2,3,4,5,6,7,4,0.49153370229039006,1.8969131719030083,0.9138457673222282,2___1___8,simulated,simulated,simulated
21276,5,0,3,5,7,6,2,4,1,0.49107371623455487,1.6737902215184324,0.6916427890493226,2___2___8,"[AM-43]  Totonac, Upper Necaxa (Totonacan, Totonac) ",americas,real
21127,0,1,2,0,3,4,5,6,7,0.49107371623455487,1.6737902215184324,0.6916427890493226,2___2___8,simulated,simulated,simulated
20878,0,0,1,2,3,1,4,5,6,0.4903012114437588,1.7420278085296208,0.7614253856421032,2___2___7,simulated,simulated,simulated
20859,0,1,2,3,3,2,4,5,6,0.4903012114437588,1.7420278085296208,0.7614253856421032,2___2___7,simulated,simulated,simulated
21083,0,1,2,3,4,2,5,5,6,0.4903012114437586,1.742027808529621,0.7614253856421038,2___2___7,simulated,simulated,simulated
20902,0,1,2,3,2,1,4,5,6,0.4885141704729421,1.824763277725899,0.8477349367800149,2___1___7,simulated,simulated,simulated
20983,0,1,2,3,4,5,6,2,2,0.4883157333661565,1.814701573965921,0.8380701072336079,2___2___7,simulated,simulated,simulated
21184,3,2,2,1,0,0,5,4,4,0.48810300210751745,1.75261338354879,0.7764073793337551,3___1___6,"Low German (Indo-European, Germanic)",europe,real
21163,1,2,2,3,0,0,4,5,5,0.48810300210751745,1.75261338354879,0.7764073793337551,3___1___6,"Faroese (Indo-European, Germanic)",europe,real
21278,3,2,2,0,1,1,4,5,5,0.48810300210751745,1.75261338354879,0.7764073793337551,3___1___6,"Tigrinya (Afro-Asiatic, Semitic)",africa,real
21364,5,1,1,3,0,0,4,2,2,0.48810300210751745,1.75261338354879,0.7764073793337551,3___1___6,"[OC-32]  Pitjantjatjara (Pama-Nyungan, Wati)",oceania,real
21231,3,0,0,5,1,1,2,4,4,0.488103002107517,1.75261338354879,0.776407379333756,3___1___6,"Temiar (Austroasiatic, Aslian)",asia,real
21194,2,0,0,3,1,1,4,5,5,0.488103002107517,1.75261338354879,0.776407379333756,3___1___6,Udihe (Tungusic),asia,real
21268,1,0,0,4,5,5,2,3,3,0.488103002107517,1.75261338354879,0.776407379333756,3___1___6,"[AM-32]  Nez Perce (Penutian, Sahaptian)",americas,real
21152,5,4,4,3,0,0,1,2,2,0.488103002107517,1.7526133835487903,0.7764073793337563,3___1___6,"Ukrainian (Indo-European, Slavic)",europe,real
18674,0,1,1,2,3,3,4,5,5,0.488103002107517,1.75261338354879,0.776407379333756,3___1___6,simulated,simulated,simulated
21355,3,1,1,0,4,4,5,2,2,0.488103002107517,1.75261338354879,0.776407379333756,3___1___6,"[OC-46]  Warrongo (Pama-Nyungan, Maric)",oceania,real
21356,0,2,2,4,5,5,3,1,1,0.488103002107517,1.75261338354879,0.776407379333756,3___1___6,"[OC-13]  Garrwa, Western (Garrwan) ",oceania,real
21179,1,4,4,2,0,0,5,3,3,0.488103002107517,1.75261338354879,0.776407379333756,3___1___6,Hungarian (Uralic),europe,real
21188,1,2,2,3,5,5,0,4,4,0.488103002107517,1.7526133835487898,0.7764073793337558,3___1___6,"Danish (Indo-European, Germanic)",europe,real
21310,1,4,4,2,5,5,0,3,3,0.488103002107517,1.7526133835487898,0.7764073793337558,3___1___6,"Amharic (Afro-Asiatic, Semitic)",africa,real
21175,1,5,5,2,4,4,0,3,3,0.488103002107517,1.7526133835487898,0.7764073793337558,3___1___6,"Norwegian (Indo-European, Germanic)",europe,real
21185,2,5,5,4,0,0,1,3,3,0.488103002107517,1.75261338354879,0.776407379333756,3___1___6,"Dutch (Indo-European, Germanic)",europe,real
21182,0,5,5,1,4,4,3,2,2,0.488103002107517,1.7526133835487898,0.7764073793337558,3___1___6,"Swedish (Indo-European, Germanic)",europe,real
21205,3,2,2,4,0,0,1,5,5,0.488103002107517,1.75261338354879,0.776407379333756,3___1___6,Telugu (Dravidian),asia,real
21178,0,2,2,5,4,4,3,1,1,0.488103002107517,1.75261338354879,0.776407379333756,3___1___6,"Slavomolisano (Indo-European, Slavic)",europe,real
21266,3,2,2,1,5,5,4,0,0,0.488103002107517,1.7526133835487898,0.7764073793337558,3___1___6,"[AM-19]  Kamaiura (Tupian, Tupi-Guarani)  ",americas,real
21330,5,0,0,4,2,2,3,1,1,0.488103002107517,1.75261338354879,0.776407379333756,3___1___6,"[OC-29]  Nii (Trans-New Guinea, Wahgic)",oceania,real
21362,2,1,1,5,0,0,4,3,3,0.488103002107517,1.75261338354879,0.776407379333756,3___1___6,"[OC-37]  Sa'a (Austronesian, Oceanic)",oceania,real
21158,1,2,2,4,5,5,0,3,3,0.488103002107517,1.75261338354879,0.776407379333756,3___1___6,"Serbian (Indo-European, Slavic)",europe,real
21339,0,5,5,3,4,4,1,2,2,0.488103002107517,1.7526133835487898,0.7764073793337558,3___1___6,"[OC-16]  Imonda (Border, Waris)",oceania,real
21221,4,3,3,0,5,5,1,2,2,0.488103002107517,1.75261338354879,0.776407379333756,3___1___6,Evenki (Tungusic),asia,real
21220,4,1,1,5,2,2,0,3,3,0.488103002107517,1.75261338354879,0.776407379333756,3___1___6,"Hebrew (Afro-Asiatic, Semitic)",asia,real
21337,4,3,3,1,5,5,2,0,0,0.488103002107517,1.75261338354879,0.776407379333756,3___1___6,"[OC-44]  Wambaya (Mirndi, Ngurlun)",oceania,real
21156,2,0,0,3,5,5,4,1,1,0.488103002107517,1.75261338354879,0.776407379333756,3___1___6,"Slovak (Indo-European, Slavic)",europe,real
21164,2,3,3,0,4,4,1,5,5,0.488103002107517,1.7526133835487898,0.7764073793337558,3___1___6,"Lezgian (Nakh-Daghestanian, Daghestanian)",europe,real
21237,5,0,0,1,3,3,4,2,2,0.488103002107517,1.75261338354879,0.776407379333756,3___1___6,[AM-39]  Sahaptin (Yakima Ichishkíin) (Penutian) ,americas,real
21214,0,2,2,3,1,1,5,4,4,0.488103002107517,1.75261338354879,0.776407379333756,3___1___6,"Vietnamese (Austroasiatic, Vietic)",asia,real
21262,5,2,2,3,0,0,4,1,1,0.488103002107517,1.75261338354879,0.776407379333756,3___1___6,"Blackfoot (Algic, Algonquian) ",americas,real
21349,5,0,0,4,2,2,3,1,1,0.488103002107517,1.75261338354879,0.776407379333756,3___1___6,"[OC-35]  Rawa (Karo) (Trans-New Guinea, Finisterre-Huon)",oceania,real
21211,2,3,3,5,4,4,1,0,0,0.488103002107517,1.75261338354879,0.776407379333756,3___1___6,"Ostyak (Uralic, Khantyic)",asia,real
21359,2,5,5,3,1,1,4,0,0,0.488103002107517,1.75261338354879,0.776407379333756,3___1___6,[OC-36]  Rotokas (North Bougainville),oceania,real
21169,5,4,4,2,1,1,3,0,0,0.488103002107517,1.75261338354879,0.776407379333756,3___1___6,"Sorbian,Upper (Indo-European, Slavic)",europe,real
21162,2,4,4,1,5,5,0,3,3,0.48810300210751656,1.7526133835487898,0.7764073793337567,3___1___6,"Croatian (Indo-European, Slavic)",europe,real
21176,5,3,3,2,1,1,0,4,4,0.48810300210751656,1.75261338354879,0.7764073793337569,3___1___6,Belarusian,europe,real
21161,4,3,3,1,2,2,5,0,0,0.48810300210751656,1.75261338354879,0.7764073793337569,3___1___6,"Russian (Indo-European, Slavic)",europe,real
21157,3,4,4,1,5,5,0,2,2,0.48810300210751656,1.7526133835487898,0.7764073793337567,3___1___6,Estonian (Uralic),europe,real
21165,0,4,4,2,3,3,5,1,1,0.48810300210751656,1.75261338354879,0.7764073793337569,3___1___6,"Romanian (Indo-European, Romance) ",europe,real
21166,3,5,5,0,1,1,4,2,2,0.48810300210751656,1.7526133835487898,0.7764073793337567,3___1___6,Bulgarian,europe,real
21151,2,5,5,1,4,4,3,0,0,0.48810300210751656,1.75261338354879,0.7764073793337569,3___1___6,"Icelandic (Indo-European, Germanic)",europe,real
21155,1,5,5,0,2,2,3,4,4,0.48810300210751656,1.7526133835487898,0.7764073793337567,3___1___6,"Latvian (Indo-European, Baltic)",europe,real
21219,0,5,5,2,4,4,3,1,1,0.48810300210751656,1.75261338354879,0.7764073793337569,3___1___6,"Hindi (Indo-European, Indo-Iranian)",asia,real
21180,4,0,0,2,1,1,3,5,5,0.48810300210751656,1.75261338354879,0.7764073793337569,3___1___6,"Lithuanian (Indo-European, Baltic)",europe,real
21226,3,4,4,5,0,0,2,1,1,0.48810300210751656,1.75261338354879,0.7764073793337569,3___1___6,"Chinese (Sino-Tibetan, Sinitic)",asia,real
21309,4,3,3,5,2,2,0,1,1,0.48810300210751656,1.75261338354879,0.7764073793337569,3___1___6,Hamar (South Omotic),africa,real
21306,3,1,1,0,2,2,4,5,5,0.48810300210751656,1.75261338354879,0.7764073793337569,3___1___6,"Zay (Afro-Asiatic, Semitic)",africa,real
21328,4,3,3,0,2,2,5,1,1,0.48810300210751656,1.75261338354879,0.7764073793337569,3___1___6,"[OC-23]  Martuthunira (Pama-Nyungan, Pilbara)",oceania,real
21286,4,2,2,1,3,3,5,0,0,0.48810300210751656,1.75261338354879,0.7764073793337569,3___1___6,Wolaytta (Ta-Ne-Omotic),africa,real
21269,1,3,3,4,0,0,2,5,5,0.48810300210751656,1.75261338354879,0.7764073793337569,3___1___6,"[AM-11]  Cree (Algic, Algonquian) ",americas,real
21267,2,4,4,3,0,0,1,5,5,0.48810300210751656,1.75261338354879,0.7764073793337569,3___1___6,"[AM-46]  Wapishana (Arawakan, Northern Maipurean)",americas,real
21265,0,1,1,5,4,4,2,3,3,0.48810300210751656,1.75261338354879,0.7764073793337569,3___1___6,"[AM-14] Dakota (Siouan, Core Siouan)",americas,real
21336,2,3,3,0,5,5,1,4,4,0.48810300210751656,1.7526133835487898,0.7764073793337567,3___1___6,[OC-38]  Savosavo (Solomon Islands),oceania,real
21242,1,3,3,5,0,0,2,4,4,0.48810300210751656,1.75261338354879,0.7764073793337569,3___1___6,"[AM-22]  Kumeyaay (Cochimi-Yuman, Yuman) ",americas,real
21146,2,5,5,1,4,4,0,3,3,0.48810300210751656,1.7526133835487898,0.7764073793337567,3___1___6,"Slovenian (Indo-European, Slavic)",europe,real
21233,3,5,5,1,2,2,4,0,0,0.48810300210751656,1.75261338354879,0.7764073793337569,3___1___6,"Vogul (Uralic, Mansi)",asia,real
21344,1,0,0,2,4,4,5,3,3,0.48810300210751656,1.75261338354879,0.7764073793337569,3___1___6,"[OC-43]  Tongan (Austronesian, Oceanic) ",oceania,real
21227,5,0,0,2,3,3,1,4,4,0.48810300210751656,1.7526133835487898,0.7764073793337567,3___1___6,"Persian (Indo-European, Indo-Iranian)",asia,real
21225,0,5,5,2,4,4,1,3,3,0.48810300210751656,1.7526133835487898,0.7764073793337567,3___1___6,"Cantonese (Sino-Tibetan, Sinitic)",asia,real
21347,1,5,5,4,2,2,0,3,3,0.48810300210751656,1.75261338354879,0.7764073793337569,3___1___6,"[OC-26]  Menya (Trans-New Guinea, Angan)",oceania,real
21216,2,0,0,5,1,1,3,4,4,0.48810300210751656,1.75261338354879,0.7764073793337569,3___1___6,Manchu (Tungusic),asia,real
21348,5,0,0,1,4,4,2,3,3,0.48810300210751656,1.75261338354879,0.7764073793337569,3___1___6,"[OC-15]  Hawaiian (Austronesian, Oceanic)",oceania,real
21210,5,4,4,0,2,2,3,1,1,0.48810300210751656,1.75261338354879,0.7764073793337569,3___1___6,Koḍava (Dravidian),asia,real
21209,5,3,3,1,0,0,4,2,2,0.48810300210751656,1.75261338354879,0.7764073793337569,3___1___6,"Panjabi (Indo-European, Indo-Iranian)",asia,real
21353,0,3,3,1,5,5,4,2,2,0.48810300210751656,1.75261338354879,0.7764073793337569,3___1___6,[OC-10]  Dyirbal (Pama-Nyungan),oceania,real
21206,0,4,4,2,3,3,5,1,1,0.48810300210751656,1.75261338354879,0.7764073793337569,3___1___6,"Burmese (Tibeto-Burmese, Burmish)",asia,real
21201,3,1,1,0,2,2,4,5,5,0.48810300210751656,1.75261338354879,0.7764073793337569,3___1___6,Lamut (Tungusic),asia,real
21190,5,0,0,4,3,3,2,1,1,0.48810300210751656,1.75261338354879,0.7764073793337569,3___1___6,"Romani, Moldovan (Indo-European, Indo-Iranian)",europe,real
21186,3,5,5,2,1,1,4,0,0,0.48810300210751656,1.75261338354879,0.7764073793337569,3___1___6,"Sorbian, Lower (Indo-European, Slavic)",europe,real
21183,1,4,4,2,3,3,0,5,5,0.48810300210751656,1.7526133835487898,0.7764073793337567,3___1___6,"Rumantsch (Indo-European, Romance)",europe,real
20931,0,1,2,3,2,4,5,6,4,0.48731731770359143,1.8490138247109944,0.8743791893038115,2___2___7,simulated,simulated,simulated
20845,0,1,1,2,3,4,5,6,1,0.4871661180230813,1.8147015739659207,0.8403693379197581,2___2___7,simulated,simulated,simulated
20710,0,1,2,3,4,2,5,1,6,0.48708973404686207,1.8022377902685058,0.8280583221747817,2___3___7,simulated,simulated,simulated
20989,0,1,2,3,4,4,5,2,6,0.48618529889760254,1.8247632777258993,0.8523926799306942,2___1___7,simulated,simulated,simulated
